step,loss,lr
147,0.38867188,4.09785401863e-06
148,0.38085938,4.0863695186e-06
149,1.17968750,4.07483097165e-06
150,0.50781250,4.06323884444e-06
151,0.98046875,4.05159360578e-06
152,0.41406250,4.03989572665e-06
153,0.52343750,4.02814568015e-06
154,0.34765625,4.01634394147e-06
155,0.37890625,4.00449098793e-06
156,0.35937500,3.99258729889e-06
157,0.62109375,3.98063335578e-06
158,0.72265625,3.96862964204e-06
159,0.75781250,3.95657664315e-06
160,1.18750000,3.94447484656e-06
161,1.79687500,3.93232474171e-06
162,1.71875000,3.92012682e-06
163,1.69531250,3.90788157473e-06
164,2.09375000,3.89558950115e-06
165,2.26562500,3.88325109638e-06
166,2.10937500,3.87086685943e-06
167,1.87500000,3.85843729116e-06
168,2.64062500,3.84596289425e-06
169,2.23437500,3.83344417321e-06
170,2.39062500,3.82088163433e-06
171,2.26562500,3.80827578569e-06
172,2.45312500,3.7956271371e-06
173,2.17187500,3.78293620011e-06
174,2.43750000,3.77020348798e-06
175,1.78125000,3.75742951567e-06
176,2.06250000,3.74461479979e-06
177,2.07812500,3.73175985861e-06
