step,loss,lr
74,1.86523438,7.39825764428e-06
75,1.71093750,7.33457626724e-06
76,1.68750000,7.27045115485e-06
77,1.95312500,7.20589781728e-06
78,1.65429688,7.14093186827e-06
79,1.86328125,7.07556902136e-06
80,1.87109375,7.00982508609e-06
81,2.12109375,6.94371596417e-06
82,2.26953125,6.87725764565e-06
83,2.08203125,6.81046620502e-06
84,1.98632812,6.74335779738e-06
85,1.84570312,6.67594865446e-06
86,1.71679688,6.60825508074e-06
87,1.84960938,6.54029344952e-06
88,1.83203125,6.47208019889e-06
89,2.20312500,6.40363182785e-06
90,2.17578125,6.33496489223e-06
91,2.16796875,6.26609600075e-06
92,2.10546875,6.19704181096e-06
93,1.86132812,6.12781902525e-06
94,1.92382812,6.05844438676e-06
95,2.21093750,5.98893467538e-06
96,2.21093750,5.91930670368e-06
97,2.07226562,5.8495773128e-06
98,1.79492188,5.77976336844e-06
99,1.76562500,5.70988175674e-06
100,1.73437500,5.63994938021e-06
101,1.92578125,5.56998315364e-06
102,1.82031250,5.5e-06
103,2.04882812,5.43001684636e-06
104,2.17578125,5.36005061979e-06
105,2.08007812,5.29011824326e-06
106,1.85546875,5.22023663156e-06
107,1.90820312,5.1504226872e-06
108,1.69335938,5.08069329632e-06
109,1.75195312,5.01106532462e-06
110,1.78906250,4.94155561324e-06
111,2.24609375,4.87218097475e-06
112,2.01953125,4.80295818904e-06
113,1.72656250,4.73390399925e-06
114,1.83203125,4.66503510777e-06
115,1.64453125,4.59636817215e-06
116,1.74023438,4.52791980111e-06
117,1.87109375,4.45970655048e-06
118,1.97070312,4.39174491926e-06
119,2.21484375,4.32405134554e-06
120,2.17578125,4.25664220262e-06
121,2.03125000,4.18953379498e-06
122,1.67968750,4.12274235435e-06
123,2.00781250,4.05628403583e-06
124,2.11914062,3.99017491391e-06
125,2.16406250,3.92443097864e-06
126,2.06835938,3.85906813173e-06
127,1.82617188,3.79410218272e-06
128,1.83984375,3.72954884515e-06
129,1.62109375,3.66542373276e-06
130,1.74023438,3.60174235572e-06
131,1.97460938,3.53852011686e-06
132,2.08007812,3.47577230797e-06
133,2.13281250,3.41351410607e-06
134,1.96484375,3.35176056977e-06
135,1.86328125,3.29052663562e-06
136,1.62695312,3.22982711448e-06
137,1.73242188,3.16967668796e-06
138,1.90234375,3.11008990484e-06
139,1.72656250,3.0510811776e-06
140,1.70312500,2.99266477887e-06
141,1.85156250,2.93485483804e-06
142,2.06250000,2.87766533779e-06
143,2.23828125,2.82111011076e-06
144,2.21093750,2.76520283614e-06
145,1.86328125,2.70995703643e-06
146,1.76367188,2.65538607412e-06
147,1.94921875,2.60150314847e-06
148,2.25390625,2.54832129235e-06
149,2.12109375,2.49585336903e-06
150,2.16210938,2.4441120691e-06
151,1.77148438,2.39310990743e-06
152,1.76367188,2.34285922007e-06
153,1.79882812,2.29337216134e-06
154,1.72265625,2.24466070084e-06
155,1.85351562,2.19673662058e-06
156,2.10937500,2.14961151214e-06
157,2.21875000,2.10329677381e-06
158,2.19140625,2.05780360791e-06
159,1.84179688,2.01314301804e-06
160,1.75976562,1.96932580639e-06
161,1.69531250,1.9263625712e-06
162,1.88281250,1.88426370413e-06
163,1.69335938,1.84303938777e-06
164,1.76562500,1.80269959321e-06
165,1.84960938,1.76325407756e-06
166,2.08007812,1.72471238165e-06
167,2.16406250,1.68708382769e-06
168,2.12890625,1.65037751703e-06
169,1.95507812,1.61460232797e-06
170,1.80468750,1.57976691355e-06
171,1.74804688,1.54587969955e-06
172,1.65625000,1.51294888239e-06
173,1.77929688,1.48098242716e-06
174,1.92578125,1.44998806569e-06
175,2.15234375,1.4199732947e-06
176,2.11718750,1.39094537397e-06
177,1.85546875,1.36291132458e-06
